Order_ID,Restaurant_Name,Location,Order,Order_Time,Delivery,Delivery_Time,Delivery_Duration_min,Pizza_Size,Pizza_Type,Toppings_Count,Distance_km,Traffic_Level,Payment_Method,Is_Peak_Hour,Is_Weekend,Topping_Density,Order_Month,Payment_Category,Estimated_Duration_min,Delay_min,Is_Delayed,Traffic_Impact,Order_Hour
ORD012,Papa John's,"Houston, TX",2024-01-12,19:00:00,2024-01-12,19:25:00,25,Medium,Non-Veg,3,3.0,Medium,Cash,TRUE,FALSE,1.000000000,January,Offline,7.20,17.80,FALSE,2,19
ORD013,Little Caesars,"Phoenix, AZ",2024-01-13,18:15:00,2024-01-13,18:35:00,20,Small,Vegan,2,2.5,High,Wallet,TRUE,TRUE,0.800000000,January,Online,6.00,14.00,FALSE,3,18
ORD014,Pizza Hut,"Atlanta, GA",2024-01-14,20:30:00,2024-01-14,20:55:00,25,XL,Cheese Burst,5,4.0,Low,Card,TRUE,TRUE,1.250000000,January,Online,9.60,15.40,FALSE,1,20
ORD015,Marco's Pizza,"Seattle, WA",2024-01-15,14:00:00,2024-01-15,14:20:00,20,Medium,Non-Veg,3,3.0,Medium,UPI,FALSE,FALSE,1.000000000,January,Online,7.20,12.80,FALSE,2,14
ORD016,Domino's,"Denver, CO",2024-01-16,19:45:00,2024-01-16,20:10:00,25,Large,Veg,4,4.5,High,Cash,TRUE,FALSE,0.888888889,January,Offline,10.80,14.20,FALSE,3,19
ORD017,Papa John's,"Boston, MA",2024-01-17,18:30:00,2024-01-17,18:55:00,25,Small,Vegan,2,2.0,Low,Wallet,TRUE,FALSE,1.000000000,January,Online,4.80,20.20,FALSE,1,18
ORD018,Little Caesars,"Dallas, TX",2024-01-18,20:00:00,2024-01-18,20:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,TRUE,FALSE,0.857142857,January,Online,8.40,11.60,FALSE,2,20
ORD019,Pizza Hut,"Los Angeles, CA",2024-01-19,19:15:00,2024-01-19,19:40:00,25,XL,Cheese Burst,5,4.0,High,UPI,TRUE,FALSE,1.250000000,January,Online,9.60,15.40,FALSE,3,19
ORD020,Marco's Pizza,"Chicago, IL",2024-01-20,13:30:00,2024-01-20,13:50:00,20,Medium,Non-Veg,3,3.0,Low,Cash,FALSE,TRUE,1.000000000,January,Offline,7.20,12.80,FALSE,1,13
ORD021,Domino's,"Miami, FL",2024-01-21,18:45:00,2024-01-21,19:10:00,25,Large,Veg,4,4.5,Medium,Wallet,TRUE,TRUE,0.888888889,January,Online,10.80,14.20,FALSE,2,18
ORD022,Papa John's,"Dallas, TX",2024-01-22,20:00:00,2024-01-22,20:25:00,25,Small,Vegan,2,2.0,High,Card,TRUE,FALSE,1.000000000,January,Online,4.80,20.20,FALSE,3,20
ORD023,Little Caesars,"Houston, TX",2024-01-23,19:30:00,2024-01-23,19:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,0.857142857,January,Online,8.40,11.60,FALSE,1,19
ORD024,Pizza Hut,"Phoenix, AZ",2024-01-24,18:15:00,2024-01-24,18:40:00,25,XL,Cheese Burst,5,4.0,Medium,Cash,TRUE,FALSE,1.250000000,January,Offline,9.60,15.40,FALSE,2,18
ORD025,Marco's Pizza,"Atlanta, GA",2024-01-25,14:30:00,2024-01-25,14:50:00,20,Medium,Non-Veg,3,3.0,High,Wallet,FALSE,FALSE,1.000000000,January,Online,7.20,12.80,FALSE,3,14
ORD026,Domino's,"Seattle, WA",2024-01-26,20:00:00,2024-01-26,20:25:00,25,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,0.888888889,January,Online,10.80,14.20,FALSE,1,20
ORD027,Papa John's,"Denver, CO",2024-01-27,19:15:00,2024-01-27,19:40:00,25,Small,Vegan,2,2.0,Medium,UPI,TRUE,TRUE,1.000000000,January,Online,4.80,20.20,FALSE,2,19
ORD028,Little Caesars,"Boston, MA",2024-01-28,18:30:00,2024-01-28,18:50:00,20,Medium,Non-Veg,3,3.5,High,Cash,TRUE,TRUE,0.857142857,January,Offline,8.40,11.60,FALSE,3,18
ORD029,Pizza Hut,"Chicago, IL",2024-01-29,20:00:00,2024-01-29,20:25:00,25,XL,Cheese Burst,5,4.0,Low,Wallet,TRUE,FALSE,1.250000000,January,Online,9.60,15.40,FALSE,1,20
ORD030,Marco's Pizza,"Miami, FL",2024-01-30,13:15:00,2024-01-30,13:35:00,20,Medium,Non-Veg,3,3.0,Medium,Card,FALSE,FALSE,1.000000000,January,Online,7.20,12.80,FALSE,2,13
ORD031,Domino's,"Los Angeles, CA",2024-02-01,19:45:00,2024-02-01,20:10:00,25,Large,Veg,4,4.5,High,UPI,TRUE,FALSE,0.888888889,February,Online,10.80,14.20,FALSE,3,19
ORD032,Papa John's,"Phoenix, AZ",2024-02-02,18:00:00,2024-02-02,18:25:00,25,Small,Vegan,2,2.0,Low,Cash,TRUE,FALSE,1.000000000,February,Offline,4.80,20.20,FALSE,1,18
ORD033,Little Caesars,"Atlanta, GA",2024-02-03,20:30:00,2024-02-03,20:55:00,25,Medium,Non-Veg,3,3.5,Medium,Wallet,TRUE,TRUE,0.857142857,February,Online,8.40,16.60,FALSE,2,20
ORD034,Pizza Hut,"Dallas, TX",2024-02-04,14:15:00,2024-02-04,14:35:00,20,XL,Cheese Burst,5,4.0,High,Card,FALSE,TRUE,1.250000000,February,Online,9.60,10.40,FALSE,3,14
ORD035,Marco's Pizza,"Seattle, WA",2024-02-05,19:00:00,2024-02-05,19:25:00,25,Medium,Non-Veg,3,3.0,Low,UPI,TRUE,FALSE,1.000000000,February,Online,7.20,17.80,FALSE,1,19
ORD036,Domino's,"Houston, TX",2024-02-06,18:45:00,2024-02-06,19:10:00,25,Large,Veg,4,4.5,Medium,Card,TRUE,FALSE,0.888888889,February,Online,10.80,14.20,FALSE,2,18
ORD037,Papa John's,"Phoenix, AZ",2024-02-07,20:00:00,2024-02-07,20:25:00,25,Medium,Non-Veg,3,3.0,High,UPI,TRUE,FALSE,1.000000000,February,Online,7.20,17.80,FALSE,3,20
ORD038,Little Caesars,"Atlanta, GA",2024-02-08,19:30:00,2024-02-08,19:50:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.800000000,February,Offline,6.00,14.00,FALSE,1,19
ORD039,Pizza Hut,"Dallas, TX",2024-02-09,18:15:00,2024-02-09,18:40:00,25,XL,Cheese Burst,5,4.0,Medium,Wallet,TRUE,FALSE,1.250000000,February,Online,9.60,15.40,FALSE,2,18
ORD040,Marco's Pizza,"Seattle, WA",2024-02-10,14:30:00,2024-02-10,14:50:00,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,TRUE,0.857142857,February,Online,8.40,11.60,FALSE,3,14
ORD041,Domino's,"Denver, CO",2024-02-11,19:00:00,2024-02-11,19:20:00,20,Large,Veg,4,4.0,Low,UPI,TRUE,TRUE,1.000000000,February,Online,9.60,10.40,FALSE,1,19
ORD042,Papa John's,"Boston, MA",2024-02-12,20:15:00,2024-02-12,20:40:00,25,Small,Vegan,2,2.0,Medium,Cash,TRUE,FALSE,1.000000000,February,Offline,4.80,20.20,FALSE,2,20
ORD043,Little Caesars,"Dallas, TX",2024-02-13,18:30:00,2024-02-13,18:50:00,20,Medium,Non-Veg,3,3.0,High,Wallet,TRUE,FALSE,1.000000000,February,Online,7.20,12.80,FALSE,3,18
ORD044,Pizza Hut,"Los Angeles, CA",2024-02-14,19:45:00,2024-02-14,20:10:00,25,XL,Cheese Burst,5,5.0,Low,Card,TRUE,FALSE,1.000000000,February,Online,12.00,13.00,FALSE,1,19
ORD045,Marco's Pizza,"Chicago, IL",2024-02-15,13:00:00,2024-02-15,13:20:00,20,Medium,Non-Veg,3,3.5,Medium,UPI,FALSE,FALSE,0.857142857,February,Online,8.40,11.60,FALSE,2,13
ORD046,Domino's,"Miami, FL",2024-02-16,18:30:00,2024-02-16,18:50:00,20,Large,Veg,4,4.0,High,Cash,TRUE,FALSE,1.000000000,February,Offline,9.60,10.40,FALSE,3,18
ORD047,Papa John's,"Dallas, TX",2024-02-17,20:00:00,2024-02-17,20:25:00,25,Medium,Non-Veg,3,3.0,Low,Wallet,TRUE,TRUE,1.000000000,February,Online,7.20,17.80,FALSE,1,20
ORD048,Little Caesars,"Houston, TX",2024-02-18,19:15:00,2024-02-18,19:35:00,20,Small,Vegan,2,2.5,Medium,Card,TRUE,TRUE,0.800000000,February,Online,6.00,14.00,FALSE,2,19
ORD049,Pizza Hut,"Phoenix, AZ",2024-02-19,20:30:00,2024-02-19,20:55:00,25,XL,Cheese Burst,5,4.5,High,UPI,TRUE,FALSE,1.111111111,February,Online,10.80,14.20,FALSE,3,20
ORD050,Marco's Pizza,"Atlanta, GA",2024-02-20,14:45:00,2024-02-20,15:05:00,20,Medium,Non-Veg,3,3.0,Low,Cash,FALSE,FALSE,1.000000000,February,Offline,7.20,12.80,FALSE,1,14
ORD051,Domino's,"Seattle, WA",2024-02-21,19:00:00,2024-02-21,19:20:00,20,Large,Veg,4,4.0,Medium,Wallet,TRUE,FALSE,1.000000000,February,Online,9.60,10.40,FALSE,2,19
ORD052,Papa John's,"Denver, CO",2024-02-22,20:15:00,2024-02-22,20:40:00,25,Small,Vegan,2,2.0,High,Card,TRUE,FALSE,1.000000000,February,Online,4.80,20.20,FALSE,3,20
ORD053,Little Caesars,"Boston, MA",2024-02-23,18:30:00,2024-02-23,18:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,0.857142857,February,Online,8.40,11.60,FALSE,1,18
ORD054,Pizza Hut,"Chicago, IL",2024-02-24,19:45:00,2024-02-24,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,Cash,TRUE,TRUE,1.250000000,February,Offline,9.60,15.40,FALSE,2,19
ORD055,Marco's Pizza,"Miami, FL",2024-02-25,13:00:00,2024-02-25,13:20:00,20,Medium,Non-Veg,3,3.0,High,Wallet,FALSE,TRUE,1.000000000,February,Online,7.20,12.80,FALSE,3,13
ORD056,Domino's,"Los Angeles, CA",2024-02-26,18:30:00,2024-02-26,18:50:00,20,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,0.888888889,February,Online,10.80,9.20,FALSE,1,18
ORD057,Papa John's,"Phoenix, AZ",2024-02-27,20:00:00,2024-02-27,20:25:00,25,Medium,Non-Veg,3,3.0,High,UPI,TRUE,FALSE,1.000000000,February,Online,7.20,17.80,FALSE,3,20
ORD058,Little Caesars,"Atlanta, GA",2024-02-28,19:15:00,2024-02-28,19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.800000000,February,Offline,6.00,14.00,FALSE,1,19
ORD059,Pizza Hut,"Dallas, TX",2024-02-29,20:30:00,2024-02-29,20:55:00,25,XL,Cheese Burst,5,4.0,Medium,Wallet,TRUE,FALSE,1.250000000,February,Online,9.60,15.40,FALSE,2,20
ORD060,Marco's Pizza,"Seattle, WA",2024-03-01,14:45:00,2024-03-01,15:05:00,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,FALSE,0.857142857,March,Online,8.40,11.60,FALSE,3,14
ORD061,Domino's,"Denver, CO",2024-03-02,19:00:00,2024-03-02,19:20:00,20,Large,Veg,4,4.0,Low,UPI,TRUE,TRUE,1.000000000,March,Online,9.60,10.40,FALSE,1,19
ORD062,Papa John's,"Boston, MA",2024-03-03,20:15:00,2024-03-03,20:40:00,25,Small,Vegan,2,2.0,Medium,Cash,TRUE,TRUE,1.000000000,March,Offline,4.80,20.20,FALSE,2,20
ORD063,Little Caesars,"Dallas, TX",2024-03-04,18:30:00,2024-03-04,18:50:00,20,Medium,Non-Veg,3,3.0,High,Wallet,TRUE,FALSE,1.000000000,March,Online,7.20,12.80,FALSE,3,18
ORD064,Pizza Hut,"Los Angeles, CA",2024-03-05,19:45:00,2024-03-05,20:10:00,25,XL,Cheese Burst,5,4.5,Low,Card,TRUE,FALSE,1.111111111,March,Online,10.80,14.20,FALSE,1,19
ORD065,Marco's Pizza,"Chicago, IL",2024-03-06,13:00:00,2024-03-06,13:20:00,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,0.857142857,March,Online,8.40,11.60,FALSE,1,13
ORD066,Domino's,"Miami, FL",2024-03-07,18:30:00,2024-03-07,18:50:00,20,Large,Veg,4,4.0,High,Card,TRUE,FALSE,1.000000000,March,Online,9.60,10.40,FALSE,3,18
ORD067,Papa John's,"Dallas, TX",2024-03-08,20:00:00,2024-03-08,20:25:00,25,Medium,Non-Veg,3,3.5,Medium,UPI,TRUE,FALSE,0.857142857,March,Online,8.40,16.60,FALSE,2,20
ORD068,Little Caesars,"Chicago, IL",2024-03-09,19:15:00,2024-03-09,19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,0.800000000,March,Offline,6.00,14.00,FALSE,1,19
ORD069,Pizza Hut,"Phoenix, AZ",2024-03-10,19:45:00,2024-03-10,20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,1.111111111,March,Online,10.80,14.20,FALSE,3,19
ORD070,Marco's Pizza,"Atlanta, GA",2024-03-11,13:00:00,2024-03-11,13:20:00,20,Medium,Non-Veg,3,3.0,Low,Card,FALSE,FALSE,1.000000000,March,Online,7.20,12.80,FALSE,1,13
ORD071,Domino's,"Seattle, WA",2024-03-12,18:30:00,2024-03-12,18:50:00,20,Large,Veg,4,4.0,Medium,UPI,TRUE,FALSE,1.000000000,March,Online,9.60,10.40,FALSE,2,18
ORD072,Papa John's,"Denver, CO",2024-03-13,20:15:00,2024-03-13,20:40:00,25,Small,Vegan,2,2.0,High,Cash,TRUE,FALSE,1.000000000,March,Offline,4.80,20.20,FALSE,3,20
ORD073,Little Caesars,"Boston, MA",2024-03-14,18:30:00,2024-03-14,18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,0.857142857,March,Online,8.40,11.60,FALSE,1,18
ORD074,Pizza Hut,"Chicago, IL",2024-03-15,19:45:00,2024-03-15,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,Card,TRUE,FALSE,1.250000000,March,Online,9.60,15.40,FALSE,2,19
ORD075,Marco's Pizza,"Miami, FL",2024-03-16,13:00:00,2024-03-16,13:20:00,20,Medium,Non-Veg,3,3.0,High,UPI,FALSE,TRUE,1.000000000,March,Online,7.20,12.80,FALSE,3,13
ORD076,Domino's,"Los Angeles, CA",2024-03-17,18:30:00,2024-03-17,18:50:00,20,Large,Veg,4,4.5,Low,Cash,TRUE,TRUE,0.888888889,March,Offline,10.80,9.20,FALSE,1,18
ORD077,Papa John's,"Phoenix, AZ",2024-03-18,20:00:00,2024-03-18,20:25:00,25,Medium,Non-Veg,3,3.0,High,Wallet,TRUE,FALSE,1.000000000,March,Online,7.20,17.80,FALSE,3,20
ORD078,Little Caesars,"Atlanta, GA",2024-03-19,19:15:00,2024-03-19,19:35:00,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,0.800000000,March,Online,6.00,14.00,FALSE,1,19
ORD079,Pizza Hut,"Dallas, TX",2024-03-20,19:45:00,2024-03-20,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,UPI,TRUE,FALSE,1.250000000,March,Online,9.60,15.40,FALSE,2,19
ORD080,Marco's Pizza,"Seattle, WA",2024-03-21,13:00:00,2024-03-21,13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,FALSE,0.857142857,March,Offline,8.40,11.60,FALSE,3,13
ORD081,Domino's,"Denver, CO",2024-03-22,18:30:00,2024-03-22,18:50:00,20,Large,Veg,4,4.0,Low,Wallet,TRUE,FALSE,1.000000000,March,Online,9.60,10.40,FALSE,1,18
ORD082,Papa John's,"Boston, MA",2024-03-23,20:15:00,2024-03-23,20:40:00,25,Small,Vegan,2,2.0,High,Card,TRUE,TRUE,1.000000000,March,Online,4.80,20.20,FALSE,3,20
ORD083,Little Caesars,"Dallas, TX",2024-03-24,18:30:00,2024-03-24,18:50:00,20,Medium,Non-Veg,3,3.0,High,UPI,TRUE,TRUE,1.000000000,March,Online,7.20,12.80,FALSE,3,18
ORD084,Pizza Hut,"Los Angeles, CA",2024-03-25,19:45:00,2024-03-25,20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,1.111111111,March,Offline,10.80,14.20,FALSE,1,19
ORD085,Marco's Pizza,"Chicago, IL",2024-03-26,13:00:00,2024-03-26,13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,0.857142857,March,Online,8.40,11.60,FALSE,2,13
ORD086,Domino's,"Miami, FL",2024-03-27,18:30:00,2024-03-27,18:50:00,20,Large,Veg,4,4.0,High,Card,TRUE,FALSE,1.000000000,March,Online,9.60,10.40,FALSE,3,18
ORD087,Papa John's,"Dallas, TX",2024-03-28,20:00:00,2024-03-28,20:25:00,25,Medium,Non-Veg,3,3.0,Low,UPI,TRUE,FALSE,1.000000000,March,Online,7.20,17.80,FALSE,1,20
ORD088,Little Caesars,"Houston, TX",2024-03-29,19:15:00,2024-03-29,19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.800000000,March,Offline,6.00,14.00,FALSE,1,19
ORD089,Pizza Hut,"Phoenix, AZ",2024-03-30,19:45:00,2024-03-30,20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,1.111111111,March,Online,10.80,14.20,FALSE,3,19
ORD090,Marco's Pizza,"Atlanta, GA",2024-03-31,13:00:00,2024-03-31,13:20:00,20,Medium,Non-Veg,3,3.0,Medium,Card,FALSE,TRUE,1.000000000,March,Online,7.20,12.80,FALSE,2,13
ORD091,Domino's,"Seattle, WA",2024-04-01,18:30:00,2024-04-01,18:50:00,20,Large,Veg,4,4.0,Low,UPI,TRUE,FALSE,1.000000000,April,Online,9.60,10.40,FALSE,1,18
ORD092,Papa John's,"Denver, CO",2024-04-02,20:15:00,2024-04-02,20:40:00,25,Small,Vegan,2,2.0,High,Cash,TRUE,FALSE,1.000000000,April,Offline,4.80,20.20,FALSE,3,20
ORD093,Little Caesars,"Boston, MA",2024-04-03,18:30:00,2024-04-03,18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,0.857142857,April,Online,8.40,11.60,FALSE,1,18
ORD094,Pizza Hut,"Chicago, IL",2024-04-04,19:45:00,2024-04-04,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,Card,TRUE,FALSE,1.250000000,April,Online,9.60,15.40,FALSE,2,19
ORD095,Marco's Pizza,"Miami, FL",2024-04-05,13:00:00,2024-04-05,13:20:00,20,Medium,Non-Veg,3,3.0,High,UPI,FALSE,FALSE,1.000000000,April,Online,7.20,12.80,FALSE,3,13
ORD096,Domino's,"Los Angeles, CA",2024-04-06,18:30:00,2024-04-06,18:50:00,20,Large,Veg,4,4.5,High,Card,TRUE,TRUE,0.888888889,April,Online,10.80,9.20,FALSE,3,18
ORD097,Papa John's,"Dallas, TX",2024-04-07,20:00:00,2024-04-07,20:25:00,25,Medium,Non-Veg,3,3.0,Medium,UPI,TRUE,TRUE,1.000000000,April,Online,7.20,17.80,FALSE,2,20
ORD098,Little Caesars,"Chicago, IL",2024-04-08,19:15:00,2024-04-08,19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,0.800000000,April,Offline,6.00,14.00,FALSE,1,19
ORD099,Pizza Hut,"Phoenix, AZ",2024-04-09,19:45:00,2024-04-09,20:10:00,25,XL,Cheese Burst,5,4.0,High,Wallet,TRUE,FALSE,1.250000000,April,Online,9.60,15.40,FALSE,3,19
ORD100,Marco's Pizza,"Atlanta, GA",2024-04-10,13:00:00,2024-04-10,13:20:00,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,0.857142857,April,Online,8.40,11.60,FALSE,1,13
ORD101,Domino's,"Seattle, WA",2024-04-11,18:30:00,2024-04-11,18:50:00,20,Large,Veg,4,4.5,Medium,UPI,TRUE,FALSE,0.888888889,April,Online,10.80,9.20,FALSE,2,18
ORD102,Papa John's,"Denver, CO",2024-04-12,20:15:00,2024-04-12,20:40:00,25,Small,Vegan,2,2.0,High,Cash,TRUE,FALSE,1.000000000,April,Offline,4.80,20.20,FALSE,3,20
ORD103,Little Caesars,"Boston, MA",2024-04-13,18:30:00,2024-04-13,18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,TRUE,0.857142857,April,Online,8.40,11.60,FALSE,1,18
ORD104,Pizza Hut,"Chicago, IL",2024-04-14,19:45:00,2024-04-14,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,Card,TRUE,TRUE,1.250000000,April,Online,9.60,15.40,FALSE,2,19
ORD105,Marco's Pizza,"Miami, FL",2024-04-15,13:00:00,2024-04-15,13:20:00,20,Medium,Non-Veg,3,3.0,High,UPI,FALSE,FALSE,1.000000000,April,Online,7.20,12.80,FALSE,3,13
ORD106,Domino's,"Los Angeles, CA",2024-04-16,18:30:00,2024-04-16,18:50:00,20,Large,Veg,4,4.5,Low,Cash,TRUE,FALSE,0.888888889,April,Offline,10.80,9.20,FALSE,1,18
ORD107,Papa John's,"Phoenix, AZ",2024-04-17,20:00:00,2024-04-17,20:25:00,25,Medium,Non-Veg,3,3.0,High,Wallet,TRUE,FALSE,1.000000000,April,Online,7.20,17.80,FALSE,3,20
ORD108,Little Caesars,"Atlanta, GA",2024-04-18,19:15:00,2024-04-18,19:35:00,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,0.800000000,April,Online,6.00,14.00,FALSE,1,19
ORD109,Pizza Hut,"Dallas, TX",2024-04-19,19:45:00,2024-04-19,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,UPI,TRUE,FALSE,1.250000000,April,Online,9.60,15.40,FALSE,2,19
ORD110,Marco's Pizza,"Seattle, WA",2024-04-20,13:00:00,2024-04-20,13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,TRUE,0.857142857,April,Offline,8.40,11.60,FALSE,3,13
ORD111,Domino's,"Denver, CO",2024-04-21,18:30:00,2024-04-21,18:50:00,20,Large,Veg,4,4.5,Low,Wallet,TRUE,TRUE,0.888888889,April,Online,10.80,9.20,FALSE,1,18
ORD112,Papa John's,"Boston, MA",2024-04-22,20:15:00,2024-04-22,20:40:00,25,Small,Vegan,2,2.0,High,Card,TRUE,FALSE,1.000000000,April,Online,4.80,20.20,FALSE,3,20
ORD113,Little Caesars,"Dallas, TX",2024-04-23,18:30:00,2024-04-23,18:50:00,20,Medium,Non-Veg,3,3.0,High,UPI,TRUE,FALSE,1.000000000,April,Online,7.20,12.80,FALSE,3,18
ORD114,Pizza Hut,"Los Angeles, CA",2024-04-24,19:45:00,2024-04-24,20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,1.111111111,April,Offline,10.80,14.20,FALSE,1,19
ORD115,Marco's Pizza,"Chicago, IL",2024-04-25,13:00:00,2024-04-25,13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,0.857142857,April,Online,8.40,11.60,FALSE,2,13
ORD116,Domino's,"Miami, FL",2024-04-26,18:30:00,2024-04-26,18:50:00,20,Large,Veg,4,4.0,High,Card,TRUE,FALSE,1.000000000,April,Online,9.60,10.40,FALSE,3,18
ORD117,Papa John's,"Dallas, TX",2024-04-27,20:00:00,2024-04-27,20:25:00,25,Medium,Non-Veg,3,3.0,Low,UPI,TRUE,TRUE,1.000000000,April,Online,7.20,17.80,FALSE,1,20
ORD118,Little Caesars,"Houston, TX",2024-04-28,19:15:00,2024-04-28,19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,0.800000000,April,Offline,6.00,14.00,FALSE,1,19
ORD119,Pizza Hut,"Phoenix, AZ",2024-04-29,19:45:00,2024-04-29,20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,FALSE,1.111111111,April,Online,10.80,14.20,FALSE,3,19
ORD120,Marco's Pizza,"Atlanta, GA",2024-04-30,13:00:00,2024-04-30,13:20:00,20,Medium,Non-Veg,3,3.0,Medium,Card,FALSE,FALSE,1.000000000,April,Online,7.20,12.80,FALSE,2,13
ORD121,Domino's,"Seattle, WA",2024-05-01,18:30:00,2024-05-01,18:50:00,20,Large,Veg,4,4.5,Low,UPI,TRUE,FALSE,0.888888889,May,Online,10.80,9.20,FALSE,1,18
ORD122,Papa John's,"Denver, CO",2024-05-02,20:15:00,2024-05-02,20:40:00,25,Small,Vegan,2,2.0,High,Cash,TRUE,FALSE,1.000000000,May,Offline,4.80,20.20,FALSE,3,20
ORD123,Little Caesars,"Boston, MA",2024-05-03,18:30:00,2024-05-03,18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,0.857142857,May,Online,8.40,11.60,FALSE,1,18
ORD124,Pizza Hut,"Chicago, IL",2024-05-04,19:45:00,2024-05-04,20:10:00,25,XL,Cheese Burst,5,4.0,Medium,Card,TRUE,TRUE,1.250000000,May,Online,9.60,15.40,FALSE,2,19
